PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
461304,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,22777580,43838888
331990,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,1034559,
390328,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,160385864,531206245,691293752
110209,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,16180967,43152000,57883295
500154,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,72880517,72520724,285162342
452114,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,7070415,60477824,
390090,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,562057900,938058838,1476310442
271322,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,14813845,5797535,11822809
154057,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,12678408,48899400,914100
370180,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,169681314,173926,4565088
103045,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,25166481,58630956,
050589,2021-06-01 00:00:00,2022-05-31 00:00:00,Settled,90330488,503152938,741808336
161372,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,7745835,73195430
150035,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,293856960,1076097628,1318983161
420011,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,22945270,16119140,75586584
390041,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,121906801,134982013,166441023
670143,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,13625945,10025960,109776715
181325,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,16807063,12508729
524008,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,102073115,127171763,
260052,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,166674792,273074949,533470486
450184,2021-07-01 00:00:00,2022-06-30 00:00:00,Amended,1844646247,4347825579,4386330220
263029,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,38634889,64784078,
241367,2021-07-01 00:00:00,2021-12-31 00:00:00,Settled,,12868921,84501339
050009,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,270664590,645682966,847026288
500031,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,81785930,112933151,221129705
440120,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,286243805,1081329766,1342346780
453047,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,26768599,48694746,498
420019,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,52203972,46502953,158416571
030065,2021-01-01 00:00:00,2021-12-31 00:00:00,Reopened,741853417,2542028511,1350405608
450272,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,107427714,226713687,399788267
673067,2021-06-01 00:00:00,2022-05-31 00:00:00,Settled,20394214,50882880,6412434
670120,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,119129669,740631265,544153420
450007,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,149432871,228119541,423180801
330119,2021-01-01 00:00:00,2021-12-31 00:00:00,Amended,1036039526,3024839211,1540225411
050625,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,2804455624,14926597599,9085319817
030101,2021-09-01 00:00:00,2022-08-31 00:00:00,Settled,90427526,684563841,647803131
450165,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,35146167,117512123,249226791
044007,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,11842029,44203280,2590914
050352,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,127379874,155901721,387609842
103027,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,26690443,36907520,324989
181320,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,10727392,26556538
450051,2021-07-01 00:00:00,2022-06-30 00:00:00,Amended,468983001,1216279772,845117249
050641,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,55901541,221004687,58399181
